-0.000000	0.000000	0.000000	0
23.492004	4.449135	9.419321	5
23.538486	4.383174	9.432480	5
22.924639	4.196170	9.182095	3
23.747244	4.271445	9.505220	5
23.731821	4.193549	9.493889	7
22.927439	3.978953	9.168204	7
22.944126	3.909375	9.170032	7
22.935814	3.835589	9.161990	4
22.907059	3.758576	9.145907	5
22.941456	3.691976	9.155046	4
22.439631	3.540651	8.951081	4
22.331724	3.453447	8.903929	10
22.587936	3.422132	9.001524	2
22.836798	3.388186	9.096195	7
22.779840	3.308345	9.069512	4
22.958529	3.262397	9.136403	5
22.932472	3.186951	9.122148	4
21.934952	2.979810	8.722993	6
21.932917	2.911031	8.718607	6
21.938053	2.843250	8.717144	4
21.944826	2.775698	8.716413	8
21.994810	2.713486	8.732862	6
22.045542	2.651104	8.749677	6
22.386385	2.622426	8.881266	7
22.443340	2.559320	8.900639	6
22.447386	2.490043	8.899177	6
22.461399	2.421862	8.901735	10
22.435396	2.349451	8.888577	9
22.407309	2.277035	8.874686	5
22.403074	2.207186	8.870300	5
22.346731	2.132434	8.845445	6
22.331850	2.061898	8.837037	5
22.280092	1.919325	8.811816	8
22.294226	1.851654	8.815105	3
22.632896	1.809867	8.946330	2
22.305166	1.714825	8.815105	5
22.335386	1.648233	8.824975	6
22.369122	1.581735	8.836306	6
22.386869	1.513979	8.841423	8
22.439711	1.448405	8.860431	10
22.858406	1.405002	9.023456	5
22.982477	1.341859	9.070609	6
23.084072	1.276736	9.108989	6
23.115767	1.207364	9.119955	11
23.155619	1.138221	9.134211	7
23.183178	1.068288	9.143714	5
23.204014	0.997917	9.150659	8
-0.000000	0.000000	0.000000	0
23.233976	4.398442	9.168783	7
22.859463	4.254946	9.016298	4
22.845802	4.179926	9.005844	6
23.141275	4.160650	9.116874	2
23.070345	4.074872	9.084069	2
22.931095	3.977771	9.024590	7
22.924801	3.904269	9.017380	6
22.837311	3.817312	8.978447	3
22.854437	3.748136	8.980610	6
22.990154	3.697997	9.029276	4
22.838306	3.601731	8.965469	2
22.188303	3.429500	8.707002	4
22.147074	3.353592	8.686814	5
22.104666	3.277832	8.666266	8
22.062925	3.202498	8.646080	2
22.009848	3.125877	8.621567	5
21.991617	3.054488	8.610752	4
21.975929	2.983617	8.601019	5
21.965561	2.913606	8.593449	5
21.971622	2.845844	8.592367	4
21.952488	2.774913	8.581553	8
21.982189	2.710176	8.589844	9
22.074677	2.652849	8.622648	3
22.178135	2.596282	8.659779	2
22.302769	2.541533	8.705199	5
22.450451	2.488612	8.759632	6
22.702814	2.446099	8.854800	3
25.207584	2.637722	9.825227	4
22.529608	2.078378	8.774052	4
22.972546	2.048173	8.943480	8
22.997309	1.979284	8.950689	8
23.016287	1.909799	8.955736	12
22.801674	1.821577	8.870301	3
22.374693	1.718408	8.702676	3
22.422649	1.652908	8.719258	5
22.463903	1.586671	8.733317	6
22.487278	1.519003	8.740527	4
22.550476	1.453785	8.763237	3
22.643276	1.390022	8.797483	4
23.402624	1.364569	9.089837	4
23.419739	1.293484	9.094884	4
23.563322	1.228912	9.148956	3
23.436552	1.150216	9.098489	6
23.329088	1.073209	9.055591	7
23.361160	1.002871	9.066766	3
